;Country-Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious-Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop";Continent
62;New Zealand;1366;+17;9 ;+4;628;729;4;283;2;64399;13355;Australia/Oceania
63;Kuwait;1355;+55;3 ;+1;176;1176;26;317;0.7;;;Asia
64;Slovenia;1220;+8;56 ;+1;152;1012;35;587;27;35946;17291;Europe
65;Kazakhstan;1202;+111;14 ;+2;203;985;21;64;0.7;76904;4096;Asia
66;Azerbaijan;1197;+49;13 ;+1;351;833;25;118;1;66677;6576;Asia
67;Uzbekistan;1113;+115;4 ;;99;1010;8;33;0.1;70000;2091;Asia
68;Bosnia and Herzegovina;1083;+46;40 ;+1;236;807;4;330;12;12407;3782;Europe
69;Lithuania;1070;+8;24 ;;101;945;14;393;9;42690;15682;Europe
70;Armenia;1067;+28;16 ;+2;265;786;30;360;5;8316;2806;Asia
71;Hong Kong;1013;+3;4 ;;434;575;13;135;0.5;96709;12900;Asia
72;Bangladesh;1012;+209;46 ;+7;42;924;1;6;0.3;13128;80;Asia
73;North Macedonia;908;+54;44 ;+6;86;778;15;436;21;9262;4446;Europe
74;Cameroon;848;;14 ;+2;130;704;;32;0.5;;;Africa
75;Slovakia;835;+66;2 ;;107;726;5;153;0.4;30052;5504;Europe
76;Oman;813;+86;4 ;;130;679;3;159;0.8;;;Asia
77;Tunisia;726;;34 ;;43;649;89;61;3;11825;1001;Africa
78;Cuba;726;;21 ;;121;584;11;64;2;17133;1513;North America
79;Afghanistan;714;+49;23 ;+2;40;651;;18;0.6;;;Asia
80;Bulgaria;695;+10;35 ;+3;81;579;36;100;5;18502;2663;Europe
81;Cyprus;662;;12 ;;65;585;8;548;10;17923;14845;Asia
82;Latvia;657;+2;5 ;;16;636;3;348;3;29018;15384;Europe
83;Andorra;646;;29 ;;128;489;17;8361;375;1673;21653;Europe
84;Lebanon;641;+9;21 ;+1;80;540;33;94;3;16319;2391;Asia
85;Ivory Coast;626;;6 ;;89;531;;24;0.2;;;Africa
86;Costa Rica;612;;3 ;;62;547;14;120;0.6;6868;1348;North America
87;Ghana;566;;8 ;;4;554;2;18;0.3;37954;1221;Africa
88;Niger;548;;13 ;;86;449;;23;0.5;4399;182;Africa
89;Burkina Faso;515;;27 ;;161;327;;25;1;;;Africa
90;Uruguay;483;;8 ;;248;227;15;139;2;9236;2659;South America
91;Albania;475;+8;24 ;+1;248;203;5;165;8;4306;1496;Europe
92;Channel Islands;436;;9 ;;48;379;;2508;52;3320;19095;Europe
93;Kyrgyzstan;430;+11;5 ;;71;354;5;66;0.8;26147;4008;Asia
